TOT_POP,COUNTY_NAME_n,Active General Surgeons per 100000 Population 2018 (AAMC),ICU Beds_x,STATE_NAME_n,anycondition_number,Total Hospitals (2019)
49615.0,1068.0,6.8,34.0,27.0,15585.0,2.391681716
33452.0,547.0,6.5,5.0,14.0,11722.0,0.659854229
11640.0,481.0,5.8,0.0,12.0,3035.0,0.29859629
54973.0,703.0,7.3,0.0,46.0,21823.0,0.619582433
21531.0,403.0,7.0,0.0,10.0,8384.0,0.296782396
46222.0,1396.0,8.7,10.0,38.0,16831.0,0.718211518
24415.0,1641.0,10.5,4.0,48.0,10065.0,0.757124694
66523.0,672.0,7.4,4.0,23.0,18136.0,1.505640971
3307.0,35.0,9.2,0.0,41.0,1107.0,0.213660759
6021.0,130.0,7.4,0.0,23.0,2043.0,0.136275638
2611.0,169.0,5.8,0.0,12.0,761.0,0.066978944
43327.0,35.0,7.1,9.0,33.0,15791.0,0.467334513
62162.0,1233.0,7.1,0.0,33.0,20437.0,0.670492949
10569.0,406.0,6.9,0.0,15.0,3801.0,0.395147245
70975.0,804.0,9.6,15.0,20.0,27494.0,0.587277116
29094.0,389.0,10.5,10.0,48.0,13406.0,0.902223463
12968.0,356.0,7.0,0.0,10.0,5384.0,0.178750365
6054.0,1624.0,6.2,0.0,43.0,2501.0,0.110314929
3370.0,1527.0,6.2,0.0,43.0,1324.0,0.061407551
13758.0,905.0,7.4,4.0,23.0,4697.0,0.311390173
45591.0,502.0,8.3,12.0,17.0,19101.0,1.071312518
75448.0,162.0,7.9,0.0,22.0,27297.0,1.086895197
8257.0,964.0,7.1,0.0,24.0,3969.0,0.273709958
44153.0,10.0,7.6,6.0,0.0,18925.0,0.912350796
42855.0,914.0,7.4,8.0,23.0,12304.0,0.969953908
29650.0,44.0,7.0,0.0,10.0,10218.0,0.40869435
28616.0,398.0,7.0,0.0,10.0,11266.0,0.394441738
18807.0,122.0,7.0,0.0,13.0,6884.0,0.276029112
13593.0,135.0,7.0,0.0,3.0,5660.0,0.396898957
13772.0,803.0,6.8,0.0,27.0,5085.0,0.663876662
8326.0,144.0,7.0,0.0,3.0,3672.0,0.243109006
3952.0,637.0,6.2,0.0,36.0,1513.0,0.125282806
65346.0,726.0,8.3,58.0,17.0,26135.0,1.535522095
22895.0,154.0,7.0,7.0,25.0,8920.0,0.455922939
60913.0,245.0,6.2,30.0,36.0,22978.0,1.931010005
16481.0,44.0,7.0,0.0,3.0,5957.0,0.481225021
15571.0,39.0,8.3,6.0,17.0,7254.0,0.36589255
4434.0,306.0,10.2,0.0,32.0,1772.0,0.037664319
41641.0,1744.0,7.3,11.0,46.0,12067.0,0.469321887
8915.0,123.0,8.3,0.0,17.0,4028.0,0.209487642
1747.0,1034.0,9.8,0.0,26.0,535.0,0.092094078
89694.0,1819.0,7.9,0.0,49.0,22835.0,2.051975998
17753.0,839.0,7.9,0.0,22.0,6048.0,0.255747673
90180.0,23.0,6.9,0.0,15.0,22395.0,3.371594144
2935.0,240.0,9.2,0.0,41.0,925.0,0.189626347
22386.0,136.0,8.3,6.0,17.0,9858.0,0.526033692
28606.0,161.0,7.1,8.0,24.0,10746.0,0.948255668
1388.0,1560.0,6.2,0.0,43.0,491.0,0.025291893
20327.0,566.0,6.5,0.0,14.0,7191.0,0.400958296
24965.0,14.0,7.0,0.0,3.0,10058.0,0.728947434
20917.0,1276.0,10.5,6.0,34.0,7243.0,1.07326363
6955.0,1793.0,10.5,0.0,48.0,3233.0,0.215678978
21763.0,44.0,7.1,0.0,33.0,8011.0,0.234740485
15878.0,1826.0,7.9,0.0,49.0,6232.0,0.363249213
14309.0,1463.0,9.2,0.0,41.0,4867.0,0.924484973
13640.0,1830.0,10.6,0.0,50.0,4300.0,0.684671399
12410.0,54.0,6.5,0.0,14.0,4657.0,0.244792269
47192.0,349.0,6.2,8.0,36.0,17626.0,1.496039009
69907.0,1669.0,5.8,4.0,44.0,20901.0,1.194195701
82753.0,539.0,6.5,17.0,14.0,29197.0,1.632336393
4795.0,1571.0,6.2,0.0,43.0,2097.0,0.087373651
10919.0,825.0,7.3,7.0,46.0,4187.0,0.123064424
10308.0,1545.0,6.2,0.0,43.0,4018.0,0.187830573
79604.0,473.0,6.9,6.0,47.0,26645.0,0.971863786
5327.0,93.0,9.6,0.0,1.0,1835.0,0.151696821
